design_order,design_id,suite,family_id,decision_type,title,decision_object,intervention_mechanism,primary_outcome,horizon,spatial_unit,binding_constraint_kind,evidence_gate_type,analysis_modes,required_source_roles,implementation_status,current_readiness,existing_template_ref,city_bindings,method_claimed,design_signature,content_hash
1,scenario.climate.extreme-heat.heat-access-gaps.v1,climate-disaster-resilience,climate.extreme-heat,diagnose,Diagnose neighborhood heat exposure and cooling-access gaps,neighborhood heat-exposure and cooling-access gaps,"spatial overlay of heat, vulnerability, canopy, and cooling access",population in high-heat low-access areas,seasonal,neighborhood,equity,geographic-alignment,descriptive,climate-hazard|demographic-context|environmental-exposure|equity-attribute|facility-inventory|geographic-identity,design-only,blocked-missing-source,,0,false,sha256:5aa9b517f4356eee6de34f345d4f20d0792352a4dae66379f3e72178791d0240,sha256:1edd9ba1c655b300e653496f4cd133f2ee191e2c0681697574f8b6c1b08144e5
2,scenario.climate.extreme-heat.heat-service-demand.v1,climate-disaster-resilience,climate.extreme-heat,forecast,Forecast heat-triggered public-service demand,daily heat-response service demand,weather-conditioned hierarchical demand forecasting,unserved heat-response requests,days,service-area,capacity,model-calibration,forecast,climate-hazard|demographic-context|geographic-identity|municipal-demand|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:2a887f2efce290b0dac81c2204ccb431e1d904a018583490deb81ca5f4a0e342,sha256:e2080a3f1b13be04c358bbc1231b2ada9b0124ecee55bab6761c22062effd1d5
3,scenario.climate.extreme-heat.cooling-investments.v1,climate-disaster-resilience,climate.extreme-heat,prioritize,"Prioritize shade, cool-roof, and cooling retrofit investments",heat-mitigation capital project portfolio,"multi-criteria ranking of shade, cool-roof, and retrofit projects",residual person-days of extreme heat exposure,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-condition|asset-inventory|climate-hazard|demographic-context|financial-cost|geographic-identity,design-only,blocked-missing-source,,0,false,sha256:e823416460130b3bfde10ee275413738aeaf561402c67eca043f6b6a53f4b31e,sha256:460a615c862b11a6e01ba2d630457e83804871bbc1ddb0e8bd5a0cc619d22955
4,scenario.climate.extreme-heat.cooling-center-network.v1,climate-disaster-resilience,climate.extreme-heat,site,Site an accessible cooling-center network,seasonal cooling-center locations,capacitated facility-location optimization with walking and transit impedance,high-risk residents beyond the cooling-access threshold,seasonal,facility,capacity,network-readiness,descriptive|optimization,climate-hazard|demographic-context|facility-inventory|geographic-identity|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:c67ba5740277612411f42824dac7fbecc60d23b72db149b76cb2276073ee5582,sha256:d504a3dab11cb5a95cc6e16f70b264a6c961b080d76e26bebdb5f2bbf4509c39
5,scenario.climate.extreme-heat.heat-response-resources.v1,climate-disaster-resilience,climate.extreme-heat,allocate,Allocate heat-response teams and cooling supplies,heat-emergency outreach and cooling resources,equity-constrained resource allocation across service areas,high-risk residents without assigned heat-response capacity,days,service-area,equity,equity-measurement,simulation|optimization,climate-hazard|demographic-context|equity-attribute|geographic-identity|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:ab095537c3089d7cac11eaea322467b2ffdc090563993d33678f73cb5089260e,sha256:9e855c482459fe8366c5c65d70a22dc9d3af7c57ddd25d7df64dddfcdce0a77a
6,scenario.climate.extreme-heat.heat-operations-calendar.v1,climate-disaster-resilience,climate.extreme-heat,schedule,Schedule heat-response shifts and facility hours,heat-response operating calendar,forecast-triggered shift and facility-hour scheduling,hours of forecast demand above staffed capacity,days,citywide,time,temporal-alignment,forecast|optimization,climate-hazard|demographic-context|geographic-identity|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:23fd784d81b2f7f4f1b5a64cc19a597c9c439c91e9ff5d7466674728d3f9721e,sha256:9a5167e340b6ee34a0cac4c07790b2dd75c5ab03e45ee4d96cc86ea828abfcf9
7,scenario.climate.extreme-heat.compound-heat-continuity.v1,climate-disaster-resilience,climate.extreme-heat,stress-test,Stress-test service continuity during compound heat,compound-heat service-continuity portfolio,multi-hazard Monte Carlo stress testing of facilities and response capacity,scenario-weighted hours of critical service interruption,weeks,citywide,risk,source-lineage,forecast|simulation|optimization,climate-hazard|demographic-context|geographic-identity|municipal-demand|operating-capacity,reference-implemented,reference-implemented,deep.climate.heat-service-surge.v1,0,false,sha256:bce74fc2d2251aa5404702222246b8c71044f56ceddb4f8ee73529e1e19b3833,sha256:ab71f9c6b07d04e466da5895d08e6b90c6065eb00fe52e628230435e9caafc33
8,scenario.climate.extreme-heat.cool-roof-impact.v1,climate-disaster-resilience,climate.extreme-heat,evaluate,Evaluate a cool-roof and household-cooling program,phased cool-roof and household-cooling intervention,pre-registered staggered-adoption causal evaluation,change in measured indoor overheating hours,multi-year,population-group,equity,causal-identification,descriptive|causal,climate-hazard|demographic-context|environmental-exposure|equity-attribute|geographic-identity|intervention-assignment|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:f8706f9c4c1295314043c519fad476aeb738acd468b67b9b6545fd5fc569c510,sha256:1f28edcf13b65dca50bde37e0aa08f32187e707a28f050763e5c0b602cff7066
9,scenario.climate.flood-stormwater.drainage-failure-patterns.v1,climate-disaster-resilience,climate.flood-stormwater,diagnose,Diagnose recurrent drainage-failure patterns,recurrent drainage-failure locations,event-linked geospatial failure-pattern diagnosis,verified flood events unexplained by mapped drainage capacity,annual,asset,technical,geographic-alignment,descriptive,asset-condition|asset-inventory|climate-hazard|environmental-exposure|geographic-identity|municipal-demand,design-only,blocked-missing-source,,0,false,sha256:3e690451937d44944964788821dd81db5c76564cae502625d6564fe54df56c03,sha256:571f852183b3bf0f061b727980a998d4ae547569f90408d398f7e04bf6e6a6db
10,scenario.climate.flood-stormwater.runoff-response-demand.v1,climate-disaster-resilience,climate.flood-stormwater,forecast,Forecast rainfall-runoff response demand,event-level stormwater response demand,rainfall-conditioned probabilistic operations forecasting,response tasks above available event capacity,days,service-area,capacity,model-calibration,forecast,asset-inventory|climate-hazard|geographic-identity|municipal-demand|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:b432a1d79a55b59e2a09d71b8a4150a46f50f73fb0250fce2d5ef158573ff597,sha256:06511618790a7150693a59d3da461d155da0556483039f011b8371f1cd2e495e
